activity_group_name	VerwerkingsMethode	amount
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,94
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	2,44
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	2,52
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	0,42
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	53,65
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	92,24
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	88,74
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	43,2
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	22,68
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	9,7
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	4,38
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	2,22
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,5
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,18
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,18
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,42
C INDUSTRIE	C02 Shredderen / knippen	0,62
C INDUSTRIE	C02 Shredderen / knippen	0,98
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	37,56
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	62,04
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	1,98
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,16
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,28
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,38
F BOUWNIJVERHEID 	C02 Shredderen / knippen	0,94
F BOUWNIJVERHEID 	C02 Shredderen / knippen	1,3
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C02 Shredderen / knippen	3,08
F BOUWNIJVERHEID 	C02 Shredderen / knippen	8,28
